position_group,decoded_token,mean_pre,mean_exact,appearances,samples_seen
middle,""")]",16.950654983520508,9.590882301330566,1,1
middle, Shopify,16.554452776908875,6.12547492980957,2,1
middle,ify,14.556859016418457,4.693629741668701,1,1
middle,Show,13.793560266494751,12.283443927764893,2,1
middle, yuan,11.337528049945831,8.130639910697937,2,1
recent, To,10.682995835940043,48.300932010014854,3,1
middle, shop,10.14558219909668,5.1046833992004395,1,1
middle, to,8.793913568769183,34.291469063077656,7,1
recent,Image,8.350525856018066,3.766371250152588,1,1
middle, know,7.652647614479065,36.47601652145386,4,1
recent,usst,7.272619724273682,5.5382702350616455,3,1
middle,2,7.129047393798828,6.619135459264119,3,1
recent,ry,7.127519845962524,46.62612348794937,4,1
middle, entities,6.822665452957153,3.995295226573944,6,2
recent, classified,6.812419465609959,16.69750133582524,7,1
middle,""",",6.729933251034129,14.397987235676158,11,1
middle, secondary,6.538172274827957,13.67881886959076,10,1
middle, limited,6.452330899238587,7.076232504844666,5,1
middle,"]"".",6.257236957550049,8.576587518056234,3,1
middle, known,5.9529571533203125,7.1243133544921875,1,1
middle,model,5.839329884165809,36.24213733559563,21,3
middle,元,5.6428632736206055,2.7177956104278564,1,1
middle, sentences,5.601860284805298,2.4035544792811074,3,1
bos,<bos>,5.5829843282699585,8.909218679155622,105,5
middle, reviewer,5.582590103149414,3.8993191719055176,1,1
recent, damals,5.574528694152832,47.774195075035095,2,1
middle,[,5.542701148986817,87.41583769321441,5,1
middle, what,5.517205864191055,28.247805684804916,4,1
middle, kilometers,5.486911296844482,9.440848350524902,1,1
middle, would,5.4729695320129395,8.278785467147827,2,1
middle,",",5.413565243993487,36.89719387463161,7,2
middle,限,5.316891074180603,7.011863509813945,6,1
recent, Quick,5.174903128828321,20.183671491486685,7,1
middle,.,5.042441487312317,28.59761370718479,16,3
middle, Quick,5.019811451435089,4.397949278354645,4,1
middle,"""),",4.979041957855225,4.200935101509094,5,2
recent, check,4.9256911277771,35.032960534095764,2,1
recent,found,4.9190563559532166,31.81016582250595,4,1
middle, now,4.8758712609608965,6.8446329434712725,3,1
middle, German,4.818033496538798,2.6800069411595664,3,1
recent,described,4.745497167110443,3.311196446418762,2,1
self, Shop,4.4894141639981955,19.25935752051217,7,1
recent,B,4.4682838916778564,60.73967099189758,2,1
recent," ("".",4.402720427513122,27.844880247116087,5,1
middle,'.,4.3298386335372925,40.590849459171295,4,1
recent,<turn|>,4.262462332844734,46.71720563868681,12,3
middle, on,4.159036338329315,7.514594078063965,4,2
edge,<|turn>,4.099403114481405,9.810487827794118,88,5
middle, examples,4.020651817321777,2.8596720695495605,1,1
middle, errors,4.007806301116943,2.3840150833129883,1,1
recent,split,4.001221269369125,11.588309943675995,4,1
self,""",",3.981765897279339,37.1674881202967,14,1
middle, is,3.977721929550171,2.87744140625,1,1
middle,by,3.8682324091593423,22.207490921020508,3,1
recent, years,3.8547985553741455,58.222718954086304,2,1
recent, ',3.8507015705108643,83.12399291992188,1,1
middle, translation,3.8367552757263184,6.865055680274963,3,1
recent, available,3.7994951407114663,35.29758993784586,3,1
middle, can,3.7799933552742004,7.990347146987915,2,1
edge,user,3.766486961311764,5.223425222436587,45,5
middle, O,3.7533264636993406,4.624423336982727,5,1
middle, <,3.709476775593228,14.200167232089573,9,1
middle,:,3.6673081278800965,8.1967928647995,5,1
middle,<turn|>,3.5972523391246796,40.7820425927639,4,1
middle, quality,3.594452142715454,5.449503183364868,2,1
middle,another,3.5811095237731934,1.8123540878295898,1,1
middle,Image,3.569746971130371,1.472225546836853,1,1
recent, and,3.551389455795288,1.9382973909378052,1,1
middle," ""'",3.5327296257019043,2.248586654663086,1,1
middle,3,3.5316543579101562,6.0898661613464355,1,1
middle,O,3.528184548020363,16.913062192499638,16,2
recent,"""),",3.5262242555618286,35.08316779136658,9,2
self, as,3.50201558641025,30.312493593565055,7,1
middle,;,3.5009634494781494,33.151367584864296,3,1
middle, token,3.4760661125183105,1.6907011270523071,1,1
recent,5,3.4676384925842285,2.117872476577759,1,1
recent,O,3.4313148260116577,31.83659553527832,2,1
middle, named,3.4100701808929443,1.9372334480285645,1,1
middle,；,3.406151294708252,6.339112758636475,2,1
recent, for,3.2900708854198455,34.811338764429095,10,2
recent, the,3.2720115184783936,77.17003885904948,3,2
middle, prepend,3.2313497066497803,2.8197498321533203,1,1
middle, Citizens,3.18487811088562,6.384159564971924,1,1
middle, ones,3.1053773164749146,6.579817533493042,2,2
self,"""),",3.094875338088189,31.785073871591262,7,1
middle,According,3.062822461128235,65.99548673629761,3,1
recent, this,3.0466713905334473,30.507094383239746,3,1
recent,3,3.0062711238861084,25.756539344787598,2,2
recent,""",",3.0048196216424308,39.917198638121285,6,2
middle,Highlight,3.004594087600708,2.378667116165161,1,1
recent,.,2.915580987930298,51.036174869537355,5,3
recent," (""",2.8898316025733948,21.196836948394775,2,1
