position_group,decoded_token,mean_pre,mean_exact,appearances,samples_seen
middle, as,12.25145784597243,7.088907208173506,62,2
recent,split,10.585174006574293,24.625791830175064,17,1
recent, Quick,10.14109856060573,16.75793811040265,35,1
recent, yuan,9.413370090723038,17.02894299030304,10,1
middle,user,8.973619937896729,8.008784770965576,2,1
middle, ,8.704460305752962,3.9379565999559736,115,3
middle,',8.562211485182653,3.5536430497638514,122,2
recent,ry,8.36145049617404,20.75438627742586,21,1
recent, years,7.9826058626174925,21.22217684686184,20,1
middle,。,7.519891738891602,1.4868314266204834,1,1
recent,5,7.011514043807983,14.837291194995244,15,1
recent,<turn|>,6.940385958866069,21.238365390975225,76,3
recent," ("".",6.900237611154231,15.35400413739972,41,1
recent,no,6.7658867835998535,2.6991052627563477,1,1
middle, letz,6.424407005310059,1.8566462993621826,1,1
recent,described,6.404945697103228,6.848213791847229,14,1
recent, damals,6.230167865753174,5.367070892923756,19,1
recent," (""",6.162028388397114,19.166518022683828,37,2
middle,Show,6.1584810495376585,6.485026836395264,5,1
recent, distance,6.096388811650484,7.232450375090474,23,1
self, Shop,6.088401526212692,5.432944919381823,28,1
recent, many,6.079737710952759,17.629306969046592,10,1
recent, hätte,5.917388207637346,15.951640574404827,26,1
recent, classified,5.879562479478341,11.642923048248997,27,1
recent, To,5.7162801954481335,12.035152872403463,9,1
middle,-,5.535220552165553,2.407719372297233,159,3
recent, being,5.371627804178458,6.005111285700248,26,1
recent, ',5.343888059906337,15.12918986833614,23,1
middle, limited,5.3149968683719635,5.488525786995888,10,1
middle,ify,5.282072067260742,1.784237027168274,2,1
recent, is,5.154727103710175,16.72191838860512,25,2
recent, this,5.132532920156207,8.415980441229683,7,1
recent,O,5.087331357674721,11.067918463395191,39,2
middle, shop,5.006547927856445,10.506153479218483,4,1
recent,3,5.0036389350891115,11.020123195648193,5,1
recent,usst,4.901904724262379,5.366671132268729,27,1
recent," [""",4.855453423091343,3.003629582268851,14,1
recent,""",",4.815767630934715,10.286884399751822,120,2
recent, and,4.758599749633244,5.574207016399929,14,1
recent, check,4.704144656658173,2.6753415912389755,4,1
recent, for,4.653682526789214,12.888140731213385,57,2
middle,model,4.553820486535731,7.58069083186769,97,4
self, limited,4.526131644312825,4.4681806256994605,28,1
recent,found,4.50166929513216,6.437220573425293,16,1
recent,Wenn,4.482789492607116,8.150272126793862,25,1
recent, available,4.4737395405769345,6.904577986399333,15,1
recent, schon,4.42404325471984,6.684560204545657,18,1
middle, wird,4.400454759597778,2.8622256219387054,2,1
middle," """,4.397517321878169,1.9726581444223243,166,2
recent, sagte,4.375641345977783,39.34958267211914,1,1
recent, select,4.266442269086838,8.319052204489708,16,1
self,Show,4.255790610398565,4.169753730563181,28,1
recent," """,4.212165372239219,15.38257806458407,36,2
recent, while,4.0494890213012695,3.4709665775299072,1,1
recent,"(""",4.04508956349813,2.5463474828463335,26,1
middle, token,4.015887141227722,1.1261906623840332,2,1
recent,"""),",4.014601368530124,8.46178653251891,102,2
recent,""")]",3.9785973174231395,10.572251975536346,14,1
recent, gew,3.9479370713233948,6.503522639473279,6,1
recent," """"",3.9359939247369766,4.941189070542653,12,1
middle, know,3.930358350276947,3.8414775133132935,4,1
middle, media,3.866969108581543,9.876182556152344,1,1
recent,user,3.8592026233673096,5.939134995142619,3,1
recent,between,3.8540414651234944,4.589926671981812,15,1
recent, fare,3.741510885953903,3.5742399871349333,10,1
middle,.,3.6665522360032603,4.471032147445986,31,4
recent, display,3.6617705523967743,3.766883783042431,8,1
middle, sentences,3.6336851119995117,2.8779489994049072,1,1
recent, [,3.5881732885654154,2.115587431650895,26,1
